,label,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0,8,0.0,11.24642276763916,0.0,7.995950222015381,9.410959243774414,19.745336532592773,9.01006031036377,8.527996063232422,10.110795021057129,19.589340209960938
1,8,0.0,13.312637329101562,0.0,10.743755340576172,11.378501892089844,18.715255737304688,11.81007194519043,11.065613746643066,12.528615951538086,18.70897674560547
2,5,0.0,0.0,0.0,0.0,0.0,28.64883041381836,0.0,0.0,0.0,30.524608612060547
3,5,0.0,0.0,0.0,0.0,0.0,26.99103546142578,0.0,0.0,0.0,29.041383743286133
4,8,0.0,5.03884220123291,0.0,5.323320388793945,5.368688583374023,22.266983032226562,4.806798458099365,4.124914646148682,4.903548240661621,23.81826400756836
5,8,0.0,13.254019737243652,0.0,12.110445976257324,12.213874816894531,16.302343368530273,12.580751419067383,11.496755599975586,13.079404830932617,16.860605239868164
6,5,0.0,0.10098958015441895,0.0,0.02490520477294922,0.0,26.708396911621094,0.369781494140625,0.01628492772579193,0.0,25.710817337036133
7,5,0.0,0.0,0.0,0.0,0.0,23.39879608154297,0.23702645301818848,0.0,0.0,24.133434295654297
8,8,0.0,7.598662376403809,0.0,7.283596038818359,8.318890571594238,20.522510528564453,7.586455821990967,6.562758445739746,8.141636848449707,21.11023712158203
9,5,0.0,0.0,0.0,0.0,0.0,30.543006896972656,0.0,0.0,0.0,32.333091735839844
10,5,0.0,0.0,0.0,0.0,0.5315401554107666,29.60090446472168,0.0,0.0,0.0,29.72127914428711
11,8,0.0,10.525390625,0.0,9.468259811401367,10.83005428314209,17.82455062866211,9.991119384765625,8.639238357543945,10.385528564453125,19.271259307861328
12,5,0.0,0.0,0.0,0.0,0.0,31.68870735168457,0.0,0.0,0.0,32.09208679199219
13,5,0.0,0.0,0.0,0.0,0.0,26.868755340576172,0.0,0.0,0.0,28.05560874938965
14,5,0.0,0.0,0.0,0.0,0.0,29.485553741455078,0.0,0.0,0.0,29.55691146850586
15,5,0.0,0.0,0.0,0.0,0.0,31.375110626220703,0.0,0.0,0.0,31.626998901367188
